feature,shap_edinburgh,shap_phq9,shap_F53
E66.3,0.00015560014033176968,0.0001366122490993805,0.00034241304217663335
E66.8,0.00012623060553466922,0.0003045578063273375,0.0001441515195834889
E66.9,0.0010990490617965095,0.0003882094652500767,0.0016839635909224845
E74.3,0.00014023469920559998,5.389340358809998e-05,0.0001146641972253874
E78.0,2.9842229249498528e-05,0.0,2.6549220442921624e-05
E78.2,1.297778807236713e-05,2.2465621351450725e-05,3.001891317232269e-06
E78.5,9.758890746923404e-05,3.09974729785104e-05,1.8033954449367633e-05
E83.4,5.3199852555978936e-05,2.100508928591631e-05,1.3803552268744055e-05
E86.0,0.0007125708783555671,6.350702066854996e-05,0.0003170605767146944
E87.1,3.318290371728355e-05,0.0,1.6126247335115402e-05
E87.6,0.00046451622028157786,0.00020414127975828235,0.00019786982053108848
E89.0,6.2477894725942585e-06,0.0,1.1100771815179444e-05
F10.1,2.8276882680934016e-05,1.4798873905994112e-05,4.0024229032052985e-06
F10.2,4.813388687650012e-05,0.0001324466894619693,3.4815919352149133e-06
F11.1,1.895353019630229e-05,4.97529310973053e-05,7.153383812099286e-05
F11.2,8.223641302829549e-05,0.00011291392165764711,0.00013646777414352913
F11.9,8.324099267967779e-05,3.382292703704189e-05,0.0003710030227771086
F12.1,0.00038608144631833047,6.983938744965761e-05,8.517116259951006e-05
F12.2,0.00019392793492708772,0.00010830661336952295,0.00029233384856636104
F12.9,0.0006497665696082289,0.0008749066106132933,0.000956442791508343
F14.1,3.298876041977691e-05,1.9075207952327256e-05,9.426902743133533e-06
F14.9,6.852225172522794e-07,1.7024291716199274e-05,1.1777719359317152e-05
F15.1,6.819680526505342e-05,4.5978167764708734e-05,2.110216171180543e-05
F15.2,7.736049674847323e-06,0.00030649538449063253,2.162694226543658e-05
F15.9,4.589323707432551e-05,1.8423910754056664e-05,3.9267358011180294e-05
F17.2,0.005523397581947934,0.003604435565661074,0.0006284101359995387
F19.1,0.00021442680014504629,0.00013553758874121886,0.0001716826360188406
F19.2,9.621221459866721e-06,0.0,4.249631987397078e-06
F19.9,0.00018163401826018705,0.0003860666628109841,0.00011585429613103623
F31.8,1.5851987188705847e-05,0.00016300699946531372,1.5004563327579678e-05
F31.9,0.0011296020074868802,8.864726507180915e-05,0.00015515375897855833
F32.0,6.933877368317607e-05,0.0001150599433010032,0.0002095193180617851
F32.1,0.00040622707169008567,0.00014790007820056594,0.00015384631295836047
F32.2,7.65626820832678e-05,8.329081126360108e-05,4.4336866243379494e-05
F32.8,8.049090429541116e-05,1.3770005235696134e-05,0.00026759330488513244
F32.9,0.011192626788223164,0.0017696719681932133,0.018206325642527672
F32.A,0.00845920175690893,0.0007837035323965712,0.004151033757611942
F33.0,3.613061405143899e-05,5.3807951318273026e-05,0.00021742102222721595
F33.1,0.0027255384545652834,0.0023304641059856746,0.0011620902271693586
F33.2,0.00015896911652097293,0.00027956525720710307,8.661565509756606e-05
F33.4,9.240651942788563e-05,0.00026515896798990333,4.953998976463913e-05
F33.9,0.0002470482522839047,0.0009028060166825074,0.0024540111876610276
F39,0.0001925076877408534,0.00019805066669677663,3.937086292906254e-05
F41.0,0.0008867290608202438,0.0002739805529087257,0.0005747876586664614
F41.1,0.0031716813372091477,0.0015057401352454765,0.002284211418243512
F41.8,0.001817222790992812,0.000849828332838813,0.0006587811214152064
F41.9,0.017474293320740283,0.0015202112562595475,0.009945148175180026
F43.1,0.00029732449236623656,0.00042383174064749375,0.0006087166993856709
F43.2,0.00013972675725950246,0.0004459679650812949,0.00013815000397796785
F43.9,7.656511466323852e-05,2.377652215205063e-05,5.175015107447701e-05
F51.0,0.00013411433171792386,0.00010846522645999975,1.846444190809906e-05
F53.0,0.00039715759361610194,0.00024022544809592178,0.0018844285692232172
F60.3,8.66687888732183e-06,4.4769220725905596e-05,5.052850550184674e-06
F90.0,0.00012319931675895034,0.00013456879674373463,1.69478236014038e-05
F90.2,4.7419624637918824e-05,0.00010344013373886182,2.3280310386262195e-05
F90.9,0.00032397825149292246,0.00031913546301251745,0.00015338863178087093
F98.8,6.889766186642544e-05,0.00017874578366298776,7.46387023222144e-05
F99,2.0171410336877572e-05,4.949190788781448e-05,5.3217269981871083e-05
G25.8,5.4502842399062826e-05,0.0005024011123460233,0.0001660325994649021
G40.9,0.0007284194990354439,8.860834268389992e-05,5.013100813194458e-05
G43.0,0.0014691955527732232,0.0013596058773864188,0.00038298205808764545
G43.1,0.0006140965563796219,0.0001292696595480277,0.0003883098084218347
G43.7,8.721351011717479e-05,2.4579372573125664e-05,2.961600868072162e-05
G43.8,5.324873106736402e-05,1.0210596789265006e-05,4.41050744198862e-05
G43.9,0.0023052475214795616,0.0013999614065505742,0.00042074575518757706
G44.2,0.00019389805709661,0.0002832494184572997,0.0004167457355859043
G44.8,2.0752629636309047e-05,0.0,0.0
G47.0,0.0001062992162411214,0.0004805066947444323,6.153767884065334e-05
G47.3,7.40885213510007e-05,3.118317047180923e-05,4.550576124132026e-05
G47.9,7.377171865858705e-05,8.868418803929992e-05,4.4626790659533053e-05
G56.0,0.0004971543961718921,0.0001464672663331512,0.00020022271311417097
G89.2,0.00032976570041831117,0.00017899238757516147,0.0005154501887839346
H10.3,0.00014119405043595156,5.5241226834736875e-05,4.682192435971558e-05
H43.3,1.1184566785466317e-05,5.947257614268678e-06,1.4518178091994033e-05
H52.1,9.524943868963872e-05,0.00025753426416566825,6.460773354431589e-05
H52.2,6.729011385835084e-05,0.00013018390967259295,7.113750501617616e-05
H53.8,0.0012331903811899439,0.0001845838788024554,0.0004438253577293114
H53.9,1.4955628014981929e-05,0.00016519267843257462,4.3973976666240775e-05
H60.3,3.528239118510486e-05,7.887242284437846e-05,5.335740020619762e-06
H61.2,0.00016873788650382157,0.0001926624595718103,0.000142336570408359
H65.0,2.7641730082882972e-05,0.00023836516717260403,2.116454201582466e-05
H66.0,1.9190912035631514e-05,0.0005170412004522389,3.919970576883579e-05
H66.9,0.00010593667939594538,0.00026796329489407305,4.8614898285589954e-05
H69.8,0.00020311038559452666,2.1965137042716975e-05,4.672830405751911e-05
H91.9,5.750450349734198e-05,2.640230756175119e-05,3.585892748788347e-05
H92.0,0.00019857899930995196,0.00016693333123471587,8.64625209822594e-05
I10,0.00052742613545691,0.00023881070463513865,0.000759778874399968
I34.0,2.127462312762627e-05,0.0,5.471745068587975e-05
I47.1,2.8237675913858535e-05,0.00010961034780423164,3.427749375447791e-05
I49.3,2.119749000661549e-06,4.3635019821005255e-05,2.7281317707464618e-06
I49.8,0.00022839798011540485,1.0604959540917341e-05,0.0001223856624942606
I49.9,2.137539451024924e-05,9.248698775166957e-05,1.6454645320113398e-05
