dx,mental_cat,match_type
T42.8X2D,self_harm,exact
T42.8X2S,self_harm,exact
T43.012,self_harm,exact
T43.012A,self_harm,exact
T43.012D,self_harm,exact
T43.012S,self_harm,exact
T43.022,self_harm,exact
T43.022A,self_harm,exact
T43.022D,self_harm,exact
T43.022S,self_harm,exact
T43.1X2,self_harm,exact
T43.1X2A,self_harm,exact
T43.1X2D,self_harm,exact
T43.1X2S,self_harm,exact
T43.202,self_harm,exact
T43.202A,self_harm,exact
T43.202D,self_harm,exact
T43.202S,self_harm,exact
T43.212,self_harm,exact
T43.212A,self_harm,exact
T43.212D,self_harm,exact
T43.212S,self_harm,exact
T43.222,self_harm,exact
T43.222A,self_harm,exact
T43.222D,self_harm,exact
T43.222S,self_harm,exact
T43.292,self_harm,exact
T43.292A,self_harm,exact
T43.292D,self_harm,exact
T43.292S,self_harm,exact
T43.3X2,self_harm,exact
T43.3X2A,self_harm,exact
T43.3X2D,self_harm,exact
T43.3X2S,self_harm,exact
T43.4X2,self_harm,exact
T43.4X2A,self_harm,exact
T43.4X2D,self_harm,exact
T43.4X2S,self_harm,exact
T43.502,self_harm,exact
T43.502A,self_harm,exact
T43.502D,self_harm,exact
T43.502S,self_harm,exact
T43.592,self_harm,exact
T43.592A,self_harm,exact
T43.592D,self_harm,exact
T43.592S,self_harm,exact
T43.602,self_harm,exact
T43.602A,self_harm,exact
T43.602D,self_harm,exact
T43.602S,self_harm,exact
T43.612,self_harm,exact
T43.612A,self_harm,exact
T43.612D,self_harm,exact
T43.612S,self_harm,exact
T43.622,self_harm,exact
T43.622A,self_harm,exact
T43.622D,self_harm,exact
T43.622S,self_harm,exact
T43.632,self_harm,exact
T43.632A,self_harm,exact
T43.632D,self_harm,exact
T43.632S,self_harm,exact
T43.692,self_harm,exact
T43.692A,self_harm,exact
T43.692D,self_harm,exact
T43.692S,self_harm,exact
T43.8X2,self_harm,exact
T43.8X2A,self_harm,exact
T43.8X2D,self_harm,exact
T43.8X2S,self_harm,exact
T43.92XA,self_harm,exact
T43.92XD,self_harm,exact
T43.92XS,self_harm,exact
T44.0X2,self_harm,exact
T44.0X2A,self_harm,exact
T44.0X2D,self_harm,exact
T44.0X2S,self_harm,exact
T44.1X2,self_harm,exact
T44.1X2A,self_harm,exact
T44.1X2D,self_harm,exact
T44.1X2S,self_harm,exact
T44.2X2,self_harm,exact
T44.2X2A,self_harm,exact
T44.2X2D,self_harm,exact
T44.2X2S,self_harm,exact
T44.3X2,self_harm,exact
T44.3X2A,self_harm,exact
T44.3X2D,self_harm,exact
T44.3X2S,self_harm,exact
T44.4X2,self_harm,exact
T44.4X2A,self_harm,exact
T44.4X2D,self_harm,exact
T44.4X2S,self_harm,exact
T44.5X2,self_harm,exact
T44.5X2A,self_harm,exact
T44.5X2D,self_harm,exact
T44.5X2S,self_harm,exact
T44.6X2,self_harm,exact
T44.6X2A,self_harm,exact
T44.6X2D,self_harm,exact
T44.6X2S,self_harm,exact
T44.7X2,self_harm,exact
T44.7X2A,self_harm,exact
T44.7X2D,self_harm,exact
T44.7X2S,self_harm,exact
T44.8X2,self_harm,exact
T44.8X2A,self_harm,exact
T44.8X2D,self_harm,exact
T44.8X2S,self_harm,exact
T44.902,self_harm,exact
T44.902A,self_harm,exact
T44.902D,self_harm,exact
T44.902S,self_harm,exact
T44.992,self_harm,exact
T44.992A,self_harm,exact
T44.992D,self_harm,exact
T44.992S,self_harm,exact
T45.0X2,self_harm,exact
T45.0X2A,self_harm,exact
T45.0X2D,self_harm,exact
T45.0X2S,self_harm,exact
T45.1X2,self_harm,exact
T45.1X2A,self_harm,exact
T45.1X2D,self_harm,exact
T45.1X2S,self_harm,exact
T45.2X2,self_harm,exact
T45.2X2A,self_harm,exact
T45.2X2D,self_harm,exact
T45.2X2S,self_harm,exact
T45.3X2,self_harm,exact
T45.3X2A,self_harm,exact
T45.3X2D,self_harm,exact
T45.3X2S,self_harm,exact
T45.4X2,self_harm,exact
T45.4X2A,self_harm,exact
T45.4X2D,self_harm,exact
T45.4X2S,self_harm,exact
T45.512,self_harm,exact
T45.512A,self_harm,exact
T45.512D,self_harm,exact
T45.512S,self_harm,exact
T45.522,self_harm,exact
T45.522A,self_harm,exact
T45.522D,self_harm,exact
T45.522S,self_harm,exact
T45.602,self_harm,exact
T45.602A,self_harm,exact
T45.602D,self_harm,exact
T45.602S,self_harm,exact
T45.612,self_harm,exact
T45.612A,self_harm,exact
T45.612D,self_harm,exact
T45.612S,self_harm,exact
T45.622,self_harm,exact
T45.622A,self_harm,exact
T45.622D,self_harm,exact
