zip|tractfips
27403|37081012604
27403|37081010702
27403|37081011500
27403|37081012610
27403|37081011601
27403|37081010601
27403|37081010500
27403|37081011602
27403|37081012505
27403|37081010701
27404|37081012509
27405|37081012707
27405|37081012704
27405|37081011904
27405|37081015500
27405|37081010900
27405|37081011000
27405|37081012706
27405|37081015402
27405|37081012703
27405|37081010100
27405|37081017200
27405|37081010200
27405|37081010300
27405|37081015401
27405|37081012803
27405|37081015100
27405|37081015300
27405|37081011905
27405|37081012705
27406|37081012612
27406|37081010800
27406|37081012805
27406|37081012611
27406|37081012604
27406|37081016600
27406|37081016702
27406|37081012610
27406|37081011400
27406|37081011300
27406|37081012803
27406|37081017100
27406|37081016701
27406|37081016900
27406|37081011500
27406|37081012804
27406|37081011200
27406|37081016800
27406|37081017200
27406|37081017000
27407|37081012601
27407|37081016502
27407|37081012504
27407|37081011602
27407|37081016503
27407|37081012609
27407|37081012617
27407|37081016103
27407|37081010601
27407|37081016405
27407|37081012607
27407|37081016505
27407|37081016701
27407|37081016011
27407|37081012608
27407|37081012611
27407|37081016600
27407|37081016506
27407|37081012610
27407|37081016702
27408|37081010403
27408|37081010200
27408|37081012508
27408|37081012509
27408|37081012503
27408|37081015705
27408|37081010800
27408|37081010500
27408|37081010401
27408|37081010404
27408|37081012505
27408|37081012703
27408|37081010701
27409|37081016201
27409|37081016102
27409|37081016011
27409|37081016008
27409|37081016204
27409|37081016103
27409|37081016406
27409|37081016003
27409|37081016503
27409|37081980100
27409|37081016405
27409|37081012601
27410|37081016102
27410|37081016009
27410|37081016008
27410|37081016101
27410|37081015704
27410|37081016405
27410|37081016007
27410|37081016010
27410|37081012505
27410|37081016406
27410|37081016103
27410|37081012504
27410|37081016006
27410|37081012511
27410|37081015705
27410|37081016011
27410|37081016003
27410|37081016005
27410|37081012509
27410|37081012510
27410|37081980100
27410|37081012508
27411|37081011000
27412|37081010701
27412|37081010702
27413|37081010702
27415|37081010300
27416|37081012604
27417|37081012609
27419|37081016102
27420|37081011000
27425|37081016102
27429|37081011000
27435|37081011000
27438|37081012508
27455|37081015704
27455|37081015500
27455|37081015703
27455|37081012703
27455|37081015600
27455|37081015705
27455|37081015707
27455|37081015706
27455|37081015800
27455|37081011904
27455|37081012503
27495|37081012601
27497|37081016405
27498|37081011000
27498|37081016201
27499|37081011000
27499|37081012609
27501|37101041502
27501|37085070903
27501|37085070901
27501|37101041503
27501|37085070402
27501|37085070401
27501|37085071001
27501|37085070801
27501|37085070904
27501|37085070902
27501|37183053108
27502|37037020702
27502|37183053417
27502|37183053420
27502|37183053418
27502|37183053419
27502|37183053415
27502|37183053416
27502|37183053413
27502|37183053414
27502|37183053412
27503|37063001603
27503|37063002100
27503|37063001601
27504|37101041503
27504|37085070200
27504|37101041501
27504|37085070402
27504|37101041502
27504|37085070300
27504|37101041202
27504|37101041400
27504|37101041300
27505|37105030702
27505|37085071301
27505|37085071302
27505|37085071303
27505|37085071102
27505|37085071101
27506|37085070802
27507|37181960200
27507|37077970101
27508|37069060801
27508|37069060700
27509|37077970702
27509|37077970703
27509|37077970704
27509|37077970603
27509|37077970701
27510|37135010704
27510|37135010705
27510|37135010703
27510|37135010706
27510|37135012202
27511|37183053517
27511|37183053507
27511|37183053519
27511|37183053419
27511|37183053520
27511|37183053516
27511|37183053505
27511|37183053509
27511|37183053506
27511|37183053518
27511|37183053521
27512|37183053519
27513|37183053424
27513|37183053423
27513|37183053520
27513|37183053522
27513|37183053512
27513|37183053606
27513|37183053517
27513|37183053605
27513|37183053525
27513|37183053524
27513|37183053521
27513|37183053523
27513|37183053422
27513|37183053513
27513|37183053425
27514|37135011901
27514|37135011500
27514|37135011800
27514|37135012100
27514|37135011601
27514|37135011700
27514|37135011202
27514|37135011205
27514|37135011400
27514|37135011902
27514|37135011602
27514|37135011300
27514|37135010902
27514|37135011204
27515|37135012100
27516|37135011202
27516|37135010902
27516|37135011901
27516|37037020106
27516|37135010705
27516|37135012201
27516|37135012202
27516|37037020105
27516|37135011300
27516|37135010703
27516|37135011601
27516|37135011602
27516|37135010706
27516|37135010704
27516|37135011203
27516|37135011800
27516|37135011700
27516|37135010701
27516|37135011204
27516|37135011205
27517|37037020103
27517|37037020105
27517|37037020702
27517|37135012202
27517|37135011500
27517|37135012201
27517|37037020701
27517|37135012100
27517|37063002018
27517|37063002019
27517|37037020104
27518|37183053004
27518|37183053003
27518|37183053005
27518|37183053509
27518|37183053505
27518|37183053405
27518|37183053421
27518|37183053506
27519|37183053603
27519|37183053606
27519|37183053415
27519|37183053608
27519|37183053408
27519|37183053602
27519|37037020701
27519|37183053411
27519|37183053410
27519|37183053604
27519|37183053409
27519|37183053605
27519|37183053412
27519|37183053601
27519|37183053607
27519|37183053517
27519|37183053425
27519|37183053424
27520|37183052807
27520|37101041001
27520|37101041103
27520|37101041102
27520|37101041501
27520|37101040902
27520|37101040901
27520|37183052809
27520|37101041002
27520|37101041101
27521|37085070802
27521|37085070402
27521|37085070401
27522|37077970603
27522|37077970703
27522|37077970601
27522|37077970602
27522|37183053900
27522|37077970701
27523|37037020702
27523|37183053424
27523|37037020701
27523|37183053408
27523|37183053418
27523|37183053509
27523|37183053409
27523|37183053410
27523|37183053411
27523|37183053419
27523|37183053415
27523|37183053416
27523|37183053412
27524|37101041202
27524|37101041300
27524|37101041501
27524|37191001000
27524|37101041201
27524|37101041400
27525|37069060502
27525|37069060302
27525|37069060600
27525|37069060501
27525|37069060402
27525|37077970602
27525|37069060401
27525|37077970601
27526|37183053105
27526|37183053109
27526|37183053202
27526|37183053206
27526|37085071002
27526|37085071001
27526|37183053110
27526|37183053111
27526|37183053201
27526|37183053205
27526|37183053106
27526|37183053108
27526|37085070904
27526|37183053207
27526|37183053107
27526|37085070901
27527|37101040203
27527|37101040901
27527|37101040302
27527|37101041001
27528|37101041001
27529|37183052801
27529|37183054500
27529|37101041101
27529|37183052807
27529|37183052101
27529|37183052902
27529|37183052808
27529|37183052802
27529|37101041102
27529|37183052803
27529|37101041103
27529|37183052903
27529|37183052809
27530|37191000902
27530|37191000102
27530|37191000101
27530|37191001900
27530|37191001200
27530|37191001101
27530|37191001500
27530|37191000901
27530|37191001400
27530|37191002000
27530|37191000304
27530|37191000303
27530|37191001000
27530|37191001800
27530|37191001102
27530|37191000500
27531|37191000500
27532|37191001302
27533|37191001500
27534|37191000303
27534|37191000401
27534|37191001900
